STT,Khu vực,Hạng mục,Mô tả gốc,Vật liệu gốc,Vật liệu chuẩn hóa,Quy cách vật liệu,Kích thước gốc,Dài(mm),Rộng(mm),Cao(mm),Sâu(mm),Đường kính(mm),ĐVT,Khối lượng,Ghi chú KL,CĐT cấp,Không thực hiện,Ghi chú nguồn,Đơn giá nguồn,Thành tiền nguồn,Phân loại nghiệp vụ,Trạng thái,Confidence,Cần kiểm tra,Lý do kiểm tra
11,PHÒNG LÀM VIỆC,Vách ốp gỗ,Vách ốp gỗ | Nền Ván MDF kháng ẩm phủ melamine màu trắng theo màu được duyệt chạy ron sơn,MDF kháng ẩm phủ melamine màu trắng,MDF [moisture_resistant] phủ melamine,moisture_resistant,,,,,,,m2,16.2435,,,,Giá bảo minh CN Hà Nội,-,0,H. WALL_FINISH,MISSING_PRICE,HIGH,,
12,PHÒNG LÀM VIỆC,Tủ hồ sơ cao,"Tủ hồ sơ cao | Ván MFC phủ melamine theo màu được duyệt | Phụ kiện bản lề, tay nắm, led hắt sáng,.. | KT: R400*C2800mm",MFC phủ melamine,MFC phủ melamine,standard,R400*C2800mm,,400,2800,,,m2,13.005,,,,Giá bảo minh CN Hà Nội,-,0,B. BUILT_IN_FURNITURE,MISSING_PRICE,HIGH,,
13,PHÒNG LÀM VIỆC,Bàn tròn tiếp khách,"Bàn tròn tiếp khách | Chân inox màu vàng gold, mặt đá marble nhân tạo trắng vân mây | D800*H450mm","Inox màu vàng gold, đá marble nhân tạo trắng vân mây",stainless_steel [grade_unknown] phủ gold + engineered_stone [marble_pattern] phủ polished,"grade_unknown, marble_pattern",D800*H450mm,,,450,,800,cái,1,,CÓ,,CĐT cấp,-,0,M. CLIENT_SUPPLIED,CLIENT_SUPPLIED,HIGH,,
14,PHÒNG LÀM VIỆC,Ghế tiếp khách đơn,"Ghế tiếp khách đơn | Chân gỗ sơn PU, nệm ngồi và lưng bọc simili theo mầu được duyệt","Gỗ sơn PU, simili",simili + solid_wood_frame [unspecified] phủ PU_lacquer,"standard, unspecified",,,,,,,cái,3,,,,Giá bảo minh CN Hà Nội,-,0,C. LOOSE_FURNITURE,MISSING_PRICE,HIGH,,
15,PHÒNG LÀM VIỆC,Sofa băng dài,"Sofa băng dài | Khung gỗ, nệm mút bọc simili theo màu được duyệt (bao gồm gối nhấn) | KT: D2475*R900*C500mm","Khung gỗ, nệm mút bọc simili",simili + solid_wood_frame [unspecified] phủ unspecified,"standard, unspecified",D2475*R900*C500mm,2475,900,500,,,cái,1,,CÓ,,CĐT cấp,-,0,M. CLIENT_SUPPLIED,CLIENT_SUPPLIED,HIGH,,
16,PHÒNG LÀM VIỆC,Quầy lễ tân,"Quầy lễ tân | MDF phủ laminate vân đá theo mẫu được duyệt | Đợt, cánh tủ phía trong ván MFC phủ melamine | Ấn viền màu xanh ở trên, led hắt sáng chân quầy | Len chân màu trắng | Logo ""BMS"" bằng mica | KT: 3600*750/870*750/1100mm","MDF phủ laminate vân đá, MFC phủ melamine, mica",MFC phủ laminate + acrylic_mica phủ opaque + engineered_stone [marble_pattern] phủ polished,"standard, standard, marble_pattern",3600*750/870*750/1100mm,3600,750,,,,md,3.6,,,,Giá bảo minh Tầng trệt HO,-,0,K. LOGO,MISSING_PRICE,HIGH,,
17,PHÒNG LÀM VIỆC,Ghế lễ tân (G1),Ghế lễ tân (G1) | Đề xuất ghế the one GL123/ tương đương,,,,,,,,,,cái,1,,CÓ,,CĐT cấp,-,0,M. CLIENT_SUPPLIED,CLIENT_SUPPLIED,HIGH,,
18,PHÒNG LÀM VIỆC,Hệ Quầy giao dịch,"Hệ Quầy giao dịch | Chân sắt, ván MDF kháng ẩm phủ Melamine AC theo màu được duyệt | Giật cấp mặt ngoài, led hắt sáng | KT: D3350*R1000*C750mm","Sắt, MDF kháng ẩm phủ Melamine AC",MDF [moisture_resistant],moisture_resistant,D3350*R1000*C750mm,3350,1000,750,,,hệ,1,,,,,-,0,B. BUILT_IN_FURNITURE,MISSING_PRICE,HIGH,,
19,PHÒNG LÀM VIỆC,Vách ngăn bàn bằng ván gỗ,Vách ngăn bàn bằng ván gỗ | KT: D1000*H300mm,Ván gỗ (loại chưa xác định),solid_wood_frame [unspecified] phủ unspecified,unspecified,D1000*H300mm,,,300,,1000,cái,2,,,,,-,0,D. PARTITION,MISSING_PRICE,MEDIUM,CÓ,Loại gỗ/ván chưa xác định
20,PHÒNG LÀM VIỆC,Vách ngăn bàn bằng mica trong,Vách ngăn bàn bằng mica trong | KT: D800*H300mm,Mica trong,acrylic_mica phủ transparent,standard,D800*H300mm,,,300,,800,cái,3,,,,,-,0,D. PARTITION,MISSING_PRICE,HIGH,,
21,PHÒNG LÀM VIỆC,Ghế khách quầy giao dịch (G2),Ghế khách quầy giao dịch (G2) | Đề xuất ghế chân quỳ bọc da màu vàng/ tương đương theo mẫu được chọn,"Chân quỳ, da màu vàng","Chân quỳ, da màu vàng",NEEDS_REVIEW,,,,,,,cái,3,,CÓ,,CĐT cấp,-,0,M. CLIENT_SUPPLIED,CLIENT_SUPPLIED,HIGH,,
22,PHÒNG LÀM VIỆC,Ghế nhân viên quầy giao dịch,Ghế nhân viên quầy giao dịch,,,,,,,,,,cái,3,,CÓ,,CĐT cấp,-,0,M. CLIENT_SUPPLIED,CLIENT_SUPPLIED,HIGH,,
23,PHÒNG LÀM VIỆC,Cửa bật 1,Cửa bật 1 | MFC phủ melamine giả đá màu trắng vân mây (cùng màu với quầy giao dịch) | KT: 1700*1100mm,MFC phủ melamine giả đá màu trắng vân mây,MFC phủ melamine,standard,1700*1100mm,1700,1100,,,,md,1.7,,,,,-,0,E. DOOR,MISSING_PRICE,HIGH,,
24,PHÒNG LÀM VIỆC,Tủ thấp gần cửa bật,Tủ thấp gần cửa bật | MFC phủ melamine giả đá màu trắng vân mây (cùng màu với quầy giao dịch) | KT: 900*1100mm,MFC phủ melamine giả đá màu trắng vân mây,MFC phủ melamine,standard,900*1100mm,900,1100,,,,hệ,1,,,,,-,0,E. DOOR,MISSING_PRICE,HIGH,,
25,PHÒNG LÀM VIỆC,Cửa bật 2,Cửa bật 2 | MFC phủ melamine giả đá màu trắng vân mây (cùng màu với quầy giao dịch) | KT: 900*1100mm,MFC phủ melamine giả đá màu trắng vân mây,MFC phủ melamine,standard,900*1100mm,900,1100,,,,md,0.9,,,,,-,0,E. DOOR,MISSING_PRICE,HIGH,,
26,PHÒNG LÀM VIỆC,Hệ Bồn trồng cây,Hệ Bồn trồng cây | MFC phủ laminate giả đá màu trắng vân mây kết hợp với melamine cùng màu | Hộc trồng cây phía trong làm bằng ván nhựa | KT: 800*870*750mm,"MFC phủ laminate giả đá, melamine, ván nhựa",MFC phủ laminate + plastic_board,"standard, standard",800*870*750mm,800,870,750,,,hệ,1,,,,,-,0,B. BUILT_IN_FURNITURE,MISSING_PRICE,HIGH,,
27,PHÒNG LÀM VIỆC,Tủ di động (cho 3 nhân viên quầy giao dịch),Tủ di động (cho 3 nhân viên quầy giao dịch) | MFC kháng ẩm phủ melamine theo màu được duyệt,MFC kháng ẩm phủ melamine,MFC [moisture_resistant] phủ melamine,moisture_resistant,,,,,,,cái,3,,,,Giá bảo minh CN Hà Nội,-,0,C. LOOSE_FURNITURE,MISSING_PRICE,HIGH,CÓ,Row số 13 trùng lặp trong sheet — cần xác nhận item_no thực tế
28,PHÒNG LÀM VIỆC,Bàn làm việc nhân viên,"Bàn làm việc nhân viên | Chân sắt sơn tĩnh điện, Mặt bàn ván MFC kháng ẩm phủ melamine AC theo màu được duyệt, hộp điện âm bàn | KT: 1200*600*750mm","Sắt sơn tĩnh điện, MFC kháng ẩm phủ melamine AC",MFC [moisture_resistant] phủ melamine_AC + steel [structural] phủ powder_coating,"moisture_resistant, structural",1200*600*750mm,1200,600,750,,,cái,6,,,,Giá bảo minh CN Hà Nội,-,0,B. BUILT_IN_FURNITURE,MISSING_PRICE,HIGH,,
29,PHÒNG LÀM VIỆC,Ghế nhân viên,Ghế nhân viên,,,,,,,,,,cái,6,,CÓ,,CĐT cấp,-,0,M. CLIENT_SUPPLIED,CLIENT_SUPPLIED,HIGH,,
30,PHÒNG LÀM VIỆC,Vách ngăn bàn D1000*C350mm bằng mica,Vách ngăn bàn D1000*C350mm bằng mica,Mica,acrylic_mica phủ opaque,standard,D1000*C350mm,1000,,,350,,cái,1,,,,Giá bảo minh CN Hà Nội,-,0,D. PARTITION,MISSING_PRICE,HIGH,,
31,PHÒNG LÀM VIỆC,Tủ di động 3 ngăn kéo (nhân viên),Tủ di động 3 ngăn kéo | Ván MFC kháng ẩm phủ melamine AC theo màu được duyệt | KT: 470*510*670mm,MFC kháng ẩm phủ melamine AC,MFC [moisture_resistant] phủ melamine_AC,moisture_resistant,470*510*670mm,470,510,670,,,cái,6,,,,Giá bảo minh CN Hà Nội,-,0,C. LOOSE_FURNITURE,MISSING_PRICE,MEDIUM,CÓ,"KT ghi ""670nn"" - cần xác nhận có thể là 670mm"
32,PHÒNG LÀM VIỆC,Bàn làm việc phó phòng,"Bàn làm việc phó phòng | Ván MFC kháng ẩm phủ melamine AC theo màu được duyệt, hộp điện âm bàn | KT: 1400*600*750mm",MFC kháng ẩm phủ melamine AC,MFC [moisture_resistant] phủ melamine_AC,moisture_resistant,1400*600*750mm,1400,600,750,,,cái,2,,,,Giá bảo minh tầng 9 HO,-,0,B. BUILT_IN_FURNITURE,MISSING_PRICE,HIGH,,
33,PHÒNG LÀM VIỆC,Ghế phó phòng,Ghế phó phòng,,,,,,,,,,cái,2,,CÓ,,CĐT cấp,-,0,M. CLIENT_SUPPLIED,CLIENT_SUPPLIED,HIGH,,
34,PHÒNG LÀM VIỆC,Bàn làm việc trưởng phòng,"Bàn làm việc trưởng phòng | Ván MFC kháng ẩm phủ melamine AC theo màu được duyệt, hộp điện âm bàn | KT: 1600*700*750mm",MFC kháng ẩm phủ melamine AC,MFC [moisture_resistant] phủ melamine_AC,moisture_resistant,1600*700*750mm,1600,700,750,,,cái,1,,,,Giá bảo minh tầng 9 HO,-,0,B. BUILT_IN_FURNITURE,MISSING_PRICE,HIGH,,
35,PHÒNG LÀM VIỆC,Ghế trưởng phòng,Ghế trưởng phòng,,,,,,,,,,cái,1,,CÓ,,CĐT cấp,-,0,M. CLIENT_SUPPLIED,CLIENT_SUPPLIED,HIGH,,
36,PHÒNG LÀM VIỆC,Tủ di động 3 ngăn kéo (trưởng/phó phòng),Tủ di động 3 ngăn kéo | Ván MFC kháng ẩm phủ melamine theo màu được duyệt | KT: 470*510*670mm,MFC kháng ẩm phủ melamine,MFC [moisture_resistant] phủ melamine,moisture_resistant,470*510*670mm,470,510,670,,,cái,3,,,,Giá bảo minh tầng 9 HO,-,0,C. LOOSE_FURNITURE,MISSING_PRICE,HIGH,,
37,PHÒNG LÀM VIỆC,Tủ hồ sơ thấp kết hợp hộc trồng cây (1400mm),Tủ hồ sơ thấp kết hợp với hộc trồng cây | Ván MFC kháng ẩm phủ melamine AC theo màu được duyệt | Hộc trồng cây phía trong làm bằng ván nhựa | KT: 1400*350*750mm,"MFC kháng ẩm phủ melamine AC, ván nhựa",MFC [moisture_resistant] phủ melamine_AC + plastic_board,"moisture_resistant, standard",1400*350*750mm,1400,350,750,,,cái,1,,,,Giá bảo minh tầng 9 HO,-,0,B. BUILT_IN_FURNITURE,MISSING_PRICE,HIGH,,
38,PHÒNG LÀM VIỆC,Tủ hồ sơ thấp kết hợp hộc trồng cây (4975mm),Tủ hồ sơ thấp kết hợp với hộc trồng cây | Ván MFC kháng ẩm phủ melamine theo màu được duyệt | Hộc trồng cây phía trong làm bằng ván nhựa | KT: 4975*350*750mm,"MFC kháng ẩm phủ melamine, ván nhựa",MFC [moisture_resistant] phủ melamine + plastic_board,"moisture_resistant, standard",4975*350*750mm,4975,350,750,,,hệ,1,,,,Theo giá tủ thấp trên * chiều dài theo tỉ lệ,-,0,B. BUILT_IN_FURNITURE,MISSING_PRICE,MEDIUM,CÓ,Giá theo tỉ lệ chiều dài — cần xác nhận phương pháp tính giá
39,PHÒNG LÀM VIỆC,Tủ thấp (vách kính ngoài),Tủ thấp (vách kính ngoài) | Ván MFC kháng ẩm phủ melamine theo màu được duyệt | KT: D4800*R400*C850mm,MFC kháng ẩm phủ melamine,MFC [moisture_resistant] phủ melamine,moisture_resistant,D4800*R400*C850mm,4800,400,850,,,cái,1,,,,,-,0,B. BUILT_IN_FURNITURE,MISSING_PRICE,HIGH,CÓ,Item_no 24 bị trùng lặp trong nguồn (row 56 và 57)
40,PHÒNG LÀM VIỆC,"Tủ thấp (sau bàn trưởng, phó phòng)","Tủ thấp (sau bàn trưởng, phó phòng) | Ván MFC kháng ẩm phủ melamine theo màu được duyệt | KT: D3600*R400*C850mm",MFC kháng ẩm phủ melamine,MFC [moisture_resistant] phủ melamine,moisture_resistant,D3600*R400*C850mm,3600,400,850,,,cái,1,,,,,-,0,B. BUILT_IN_FURNITURE,MISSING_PRICE,HIGH,,
41,PHÒNG GIÁM ĐỐC CHI NHÁNH,Thảm trải sàn,Thảm trải sàn | Theo mẫu được duyệt,Thảm (theo mẫu được duyệt),carpet [per_approved_sample],per_approved_sample,,,,,,,m2,27.615,"Phòng GĐ Chi Nhánh: 26.3 (net), hệ số x1.05",,,Giá bảo minh CN Hà Nội,-,0,G. FLOOR_FINISH,MISSING_PRICE,HIGH,,
42,PHÒNG GIÁM ĐỐC CHI NHÁNH,Len chân tường,Len chân tường | Len PVC H100mm,PVC H100mm,PVC [H100mm_baseboard],H100mm_baseboard,H100mm,,,100,,,md,11.55,"Phòng GĐ Chi Nhánh: 11 (net), hệ số x1.05",,,Giá bảo minh CN Hà Nội,-,0,A. FINISHING,MISSING_PRICE,HIGH,,
43,PHÒNG GIÁM ĐỐC CHI NHÁNH,Rèm che nắng,Rèm che nắng | Rèm cuộn màu trắng,Rèm cuộn màu trắng,roller_blind [white],white,,,,,,,m2,12.291,,,,Giá bảo minh CN Hà Nội,-,0,F. CURTAIN,MISSING_PRICE,HIGH,,
44,PHÒNG GIÁM ĐỐC CHI NHÁNH,Tủ phòng giám đốc,Tủ phòng giám đốc | MDF kháng ẩm phủ melamine theo màu được duyệt,MDF kháng ẩm phủ melamine,MDF [moisture_resistant] phủ melamine,moisture_resistant,,,,,,,hệ,2,,,,Giá bảo minh CN Hà Nội,-,0,B. BUILT_IN_FURNITURE,MISSING_PRICE,MEDIUM,CÓ,Kích thước hệ tủ chưa được ghi rõ
45,PHÒNG GIÁM ĐỐC CHI NHÁNH,Ốp vách giữa 2 tủ,Ốp vách giữa 2 tủ | Khung gỗ hoàn thiện MDF kháng ẩm phủ melamine theo màu được duyệt,"MDF kháng ẩm phủ melamine, khung gỗ",MDF [moisture_resistant] phủ melamine + solid_wood_frame [unspecified] phủ unspecified,"moisture_resistant, unspecified",,,,,,,m2,7.191,,,,Giá bảo minh CN Hà Nội,-,0,H. WALL_FINISH,MISSING_PRICE,HIGH,,
46,PHÒNG GIÁM ĐỐC CHI NHÁNH,Bàn làm việc giám đốc,Bàn làm việc giám đốc | Ván MDF phủ melamine kết hợp với laminate vân đá,"MDF phủ melamine, laminate vân đá",engineered_stone [marble_pattern] phủ polished,marble_pattern,,,,,,,cái,1,,,,Giá bảo minh CN Hà Nội,-,0,B. BUILT_IN_FURNITURE,MISSING_PRICE,MEDIUM,CÓ,Kích thước bàn không được ghi rõ trong sheet
47,PHÒNG GIÁM ĐỐC CHI NHÁNH,Ghế giám đốc,"Ghế giám đốc | Chân inox, da PU cao cấp","Inox, da PU",stainless_steel [grade_unknown] phủ brushed + leather_PU,"grade_unknown, standard",,,,,,,cái,1,,CÓ,,CĐT cấp,-,0,M. CLIENT_SUPPLIED,CLIENT_SUPPLIED,HIGH,,
48,PHÒNG GIÁM ĐỐC CHI NHÁNH,Ghế khách (G4),"Ghế khách (G4) | Chân quỳ inox, bọc da đen | Đề xuất Hòa Phát: theo mẫu","Inox, da đen",stainless_steel [grade_unknown] phủ brushed,grade_unknown,,,,,,,cái,2,,CÓ,,CĐT cấp,-,0,M. CLIENT_SUPPLIED,CLIENT_SUPPLIED,HIGH,,
49,PHÒNG GIÁM ĐỐC CHI NHÁNH,Bàn tròn tiếp khách,"Bàn tròn tiếp khách | Chân inox màu vàng gold, mặt đá marble nhân tạo trắng vân mây","Inox màu vàng gold, đá marble nhân tạo trắng vân mây",stainless_steel [grade_unknown] phủ gold + engineered_stone [marble_pattern] phủ polished,"grade_unknown, marble_pattern",,,,,,,cái,1,,CÓ,,CĐT cấp,-,0,M. CLIENT_SUPPLIED,CLIENT_SUPPLIED,HIGH,,
50,PHÒNG GIÁM ĐỐC CHI NHÁNH,Ghế tiếp khách đơn,"Ghế tiếp khách đơn | Chân gỗ sơn PU, nệm ngồi và lưng bọc simili theo màu được duyệt","Gỗ sơn PU, simili",simili + solid_wood_frame [unspecified] phủ PU_lacquer,"standard, unspecified",,,,,,,cái,1,,,,Giá bảo minh CN Hà Nội,-,0,C. LOOSE_FURNITURE,MISSING_PRICE,HIGH,,
51,PHÒNG GIÁM ĐỐC CHI NHÁNH,Sofa băng dài,"Sofa băng dài | Khung gỗ, nệm mút bọc simili theo màu được duyệt","Khung gỗ, nệm mút bọc simili",simili + solid_wood_frame [unspecified] phủ unspecified,"standard, unspecified",,,,,,,cái,1,,CÓ,,CĐT cấp,-,0,M. CLIENT_SUPPLIED,CLIENT_SUPPLIED,HIGH,,
52,PHÒNG PANTRY,Thảm trải sàn,Thảm trải sàn | Theo mẫu được duyệt,Thảm (theo mẫu được duyệt),carpet [per_approved_sample],per_approved_sample,,,,,,,m2,0,,,CÓ,không thực hiện,-,0,N. NOT_EXECUTED,NOT_EXECUTED,HIGH,,
53,PHÒNG PANTRY,Len chân tường,Len chân tường | Len PVC H100mm,PVC H100mm,PVC [H100mm_baseboard],H100mm_baseboard,H100mm,,,100,,,md,13.86,"Phòng pantry: 13.2 (net), hệ số x1.05",,,Giá bảo minh CN Hà Nội,-,0,A. FINISHING,MISSING_PRICE,HIGH,,
54,PHÒNG PANTRY,Rèm che nắng,Rèm che nắng | Rèm cuộn màu trắng,Rèm cuộn màu trắng,roller_blind [white],white,,,,,,,m2,15.555,Phòng pantry & kho: 15.555,,,Giá bảo minh CN Hà Nội,-,0,F. CURTAIN,MISSING_PRICE,HIGH,,
55,PHÒNG PANTRY,Hệ quầy tủ pantry,Hệ quầy tủ pantry | Ván MFC kháng ẩm phủ melamine theo màu được duyệt,MFC kháng ẩm phủ melamine,MFC [moisture_resistant] phủ melamine,moisture_resistant,,,,,,,cái,1,,,,Giá bảo minh CN Hà Nội,-,0,B. BUILT_IN_FURNITURE,MISSING_PRICE,MEDIUM,CÓ,Kích thước hệ quầy tủ chưa được ghi rõ
56,PHÒNG PANTRY,Mặt đá tủ pantry,Mặt đá tủ pantry: ốp PVC vân đá theo mẫu được duyệt,PVC vân đá,PVC [stone_pattern],stone_pattern,,,,,,,md,0,,,CÓ,không thực hiện,-,0,N. NOT_EXECUTED,NOT_EXECUTED,HIGH,,
57,PHÒNG PANTRY,Hệ đợt trên quầy tủ pantry,Hệ đợt trên quầy tủ pantry,,,,,,,,,,hệ,0,,,CÓ,không thực hiện,-,0,N. NOT_EXECUTED,NOT_EXECUTED,HIGH,,
58,PHÒNG PANTRY,Ốp mặt đứng tủ,Ốp mặt đứng tủ: Tấm PVC vân giả đá,PVC vân giả đá,PVC,standard,,,,,,,m2,0,,,CÓ,không thực hiện,-,0,N. NOT_EXECUTED,NOT_EXECUTED,HIGH,,
59,PHÒNG PANTRY,Tủ bỏ tủ lạnh,Tủ bỏ tủ lạnh: Ván MDF kháng ẩm phủ melamine AC theo màu được duyệt,MDF kháng ẩm phủ melamine AC,MDF [moisture_resistant] phủ melamine,moisture_resistant,,,,,,,hệ,0,,,CÓ,không thực hiện,-,0,N. NOT_EXECUTED,NOT_EXECUTED,HIGH,,
60,PHÒNG PANTRY,Hệ ghế sofa băng,"Hệ ghế sofa băng | Khung gỗ, Ván MFC phủ melamine, nệm ngồi và lưng bọc simili theo màu được duyệt","Khung gỗ, MFC phủ melamine, simili",MFC phủ melamine + simili + solid_wood_frame [unspecified] phủ unspecified,"standard, standard, unspecified",,,,,,,hệ,1,,,,,-,0,C. LOOSE_FURNITURE,MISSING_PRICE,MEDIUM,CÓ,Kích thước sofa băng chưa được ghi rõ
61,PHÒNG PANTRY,Bàn ăn chữ nhật,Bàn ăn chữ nhật | KT: 900*500*750mm,,,,900*500*750mm,900,500,750,,,cái,2,,CÓ,,CĐT cấp,-,0,M. CLIENT_SUPPLIED,CLIENT_SUPPLIED,HIGH,,
62,PHÒNG PANTRY,Bàn ăn hình vuông,Bàn ăn hình vuông | KT: 500*500*750mm,,,,500*500*750mm,500,500,750,,,cái,1,,CÓ,,CĐT cấp,-,0,M. CLIENT_SUPPLIED,CLIENT_SUPPLIED,HIGH,,
63,PHÒNG PANTRY,Ghế ăn,Ghế ăn,,,,,,,,,,cái,6,,CÓ,,CĐT cấp,-,0,M. CLIENT_SUPPLIED,CLIENT_SUPPLIED,HIGH,,
64,PHÒNG CHỦ TỊCH,Thảm trải sàn,Thảm trải sàn | Theo mẫu được duyệt,Thảm (theo mẫu được duyệt),carpet [per_approved_sample],per_approved_sample,,,,,,,m2,98.7,"Phòng chủ tịch: 94 (net), hệ số x1.05",,,,-,0,G. FLOOR_FINISH,MISSING_PRICE,HIGH,CÓ,Không có ghi chú giá (khác các phòng khác)
65,PHÒNG CHỦ TỊCH,Len chân tường,Len chân tường | Len PVC H100mm,PVC H100mm,PVC [H100mm_baseboard],H100mm_baseboard,H100mm,,,100,,,md,42,"Phòng chủ tịch: 40 (net), hệ số x1.05",,,Giá bảo minh CN Hà Nội,-,0,A. FINISHING,MISSING_PRICE,HIGH,,
66,PHÒNG CHỦ TỊCH,Rèm che nắng,Rèm che nắng | Rèm cuộn màu trắng,Rèm cuộn màu trắng,roller_blind [white],white,,,,,,,m2,48.96,,,,Giá bảo minh CN Hà Nội,-,0,F. CURTAIN,MISSING_PRICE,HIGH,,
67,PHÒNG CHỦ TỊCH,Vách ốp gỗ,Vách ốp gỗ,,,,,,,,,,m2,30.6,,,,,-,0,H. WALL_FINISH,MISSING_PRICE,MEDIUM,CÓ,Vật liệu vách ốp gỗ chưa được ghi rõ — cần xác nhận loại MDF/MFC
68,PHÒNG CHỦ TỊCH,Nẹp T inox ron vách gỗ,Nẹp T inox ron vách gỗ,Inox,stainless_steel [grade_unknown] phủ brushed,grade_unknown,,,,,,,md,47.7,,,,Giá bảo minh CN Hà Nội,-,0,A. FINISHING,MISSING_PRICE,HIGH,,
69,PHÒNG CHỦ TỊCH,Tủ phòng chủ tịch,Tủ phòng chủ tịch | MDF kháng ẩm phủ melamine theo màu được duyệt,MDF kháng ẩm phủ melamine,MDF [moisture_resistant] phủ melamine,moisture_resistant,,,,,,,m2,26.265,,,,,-,0,B. BUILT_IN_FURNITURE,MISSING_PRICE,MEDIUM,CÓ,"Không có ghi chú giá, kích thước tổng thể chưa rõ"
70,PHÒNG CHỦ TỊCH,Bộ logo BMS bằng mica có đèn,Bộ logo BMS bằng mica có đèn,Mica có đèn,acrylic_mica phủ backlit,standard,,,,,,,bộ,0,,,,,-,0,K. LOGO,NEEDS_REVIEW,LOW,CÓ,Số lượng = 0 nhưng không có ghi chú không thực hiện — cần xác nhận
71,PHÒNG CHỦ TỊCH,Bàn làm việc chủ tịch,Bàn làm việc chủ tịch | MDF kháng ẩm phủ melamine AC theo màu được duyệt,MDF kháng ẩm phủ melamine AC,MDF [moisture_resistant] phủ melamine,moisture_resistant,,,,,,,cái,1,,CÓ,,CĐT cấp,-,0,M. CLIENT_SUPPLIED,CLIENT_SUPPLIED,HIGH,,
72,PHÒNG CHỦ TỊCH,Ghế chủ tịch,Ghế chủ tịch,,,,,,,,,,cái,1,,CÓ,,CĐT cấp,-,0,M. CLIENT_SUPPLIED,CLIENT_SUPPLIED,HIGH,,
73,PHÒNG CHỦ TỊCH,Ghế khách,Ghế khách,,,,,,,,,,cái,2,,CÓ,,CĐT cấp,-,0,M. CLIENT_SUPPLIED,CLIENT_SUPPLIED,HIGH,,
